States,Illiterates (in percent),Primary(in percent),Middle (in percent),Matric & Above (in percent)
Andhra Pradesh,44.79,28.45,11.83,14.93
Arunachal Pradesh,49.32,25.68,20.27,4.73
Bihar,31.49,30.48,18.64,19.4
Haryana,41.21,21.11,13.57,24.12
Himachal Pradesh,24,29,21,26
Jammu and Kashmir,31.82,24.55,34.55,9.09
Jharkhand,38.93,32.21,14.09,14.77
Karnataka,35.34,31.8,16.61,16.25
Kerala,0.59,13.02,44.38,42.01
Madhya Pradesh,31.75,31.75,22.25,14.25
Maharashtra,26.94,18.06,28.33,26.67
Meghalaya,6.58,50,34.21,9.21
Punjab,50.51,23.74,15.66,10.1
Rajasthan,40.75,28.75,15.5,15
Tamil Nadu,16.73,42.7,29.89,10.68
Uttar Pradesh,40.77,23.33,18.21,17.69
West Bengal,29.26,29.26,28.38,13.1
All States,33.03,28.52,21.3,17.16
