,State/UTs,no_of_crimes
0,Andhra Pradesh,5107
1,Arunachal Pradesh,347
2,Assam,3304
3,Bihar,6194
4,Chhattisgarh,11424
5,Goa,840
6,Gujarat,8864
7,Haryana,6187
8,Himachal Pradesh,1218
9,Jammu & Kashmir,568
10,Jharkhand,982
11,Karnataka,8716
12,Kerala,5547
13,Madhya Pradesh,39093
14,Maharashtra,21066
15,Manipur,355
16,Meghalaya,525
17,Mizoram,432
18,Nagaland,63
19,Odisha,5537
20,Punjab,4573
21,Rajasthan,10083
22,Sikkim,233
23,Tamil Nadu,6158
24,Telangana,4791
25,Tripura,949
26,Uttar Pradesh,42023
27,Uttarakhand,1365
28,West Bengal,13488
29,A&N Islands,122
30,Chandigarh,563
31,D&N Haveli,30
32,Daman & Diu,18
33,Delhi UT,26445
34,Lakshadweep,3
35,Puducherry,106
36,Total (States),210032
37,Total (UTs),27287
